Language,Query,Weight,Bucket,Comment,Expectation,Parsed,SearchQuality,Rank
he,פרשת השבוע במדבר,220.50,תנך,groups,https://archive.kbb1.com/he/programs/cu/WYbNrqMa,cu|WYbNrqMa|,Regular,5
he,פרשת השבוע במדבר,220.50,תנך,groups,https://archive.kbb1.com/he/programs/cu/czD5IOia,cu|czD5IOia|,Regular,7
he,פסח,177.75,חגים,מדור חגים groups,https://archive.kbb1.com/he/events/c/PWOJ9aPK?language=he,c|PWOJ9aPK|,Unknown,-1
he,פסח,177.75,חגים,מדור חגים groups,https://archive.kbb1.com/he/programs?topic=g3ml0jum_1nyptSIo_RWqjxgkj,p||topic - g3ml0jum_1nyptSIo_RWqjxgkj,Unknown,-1
he,פסח,177.75,חגים,מדור חגים groups,https://archive.kbb1.com/he/programs/cu/sQLBSVm9,cu|sQLBSVm9|,Unknown,-1
he,פסח,177.75,חגים,מדור חגים groups,https://archive.kbb1.com/he/programs/cu/zGraxAov,cu|zGraxAov|,Unknown,-1
he,חנוכה,355.50,חגים,מדור חגים groups,https://archive.kbb1.com/he/events/c/6CMNoQ6i?language=he,c|6CMNoQ6i|,Good,3
he,חנוכה,355.50,חגים,מדור חגים groups,https://archive.kbb1.com/he/programs?topic=g3ml0jum_1nyptSIo_rxNl0zXg,p||topic - g3ml0jum_1nyptSIo_rxNl0zXg,Unknown,-1
he,פורים,355.50,חגים,מדור חגים groups,https://archive.kbb1.com/he/events/c/BTc81T71?language=he,c|BTc81T71|,Unknown,-1
he,פורים,355.50,חגים,מדור חגים groups,https://archive.kbb1.com/he/programs?topic=g3ml0jum_1nyptSIo_ZjqGWdYE,p||topic - g3ml0jum_1nyptSIo_ZjqGWdYE,Unknown,-1
he,יום כיפור,355.50,חגים,מדור חגים groups,https://archive.kbb1.com/he/programs?topic=g3ml0jum_1nyptSIo_oXRmGfzj,p||topic - g3ml0jum_1nyptSIo_oXRmGfzj,Unknown,-1
he,יום כיפור,355.50,חגים,מדור חגים groups,https://archive.kbb1.com/he/programs/cu/Wzhb9v1Z?language=he,cu|Wzhb9v1Z|,Unknown,-1
he,שמעתי,316.50,ספר קבלה,groups - books,https://archive.kbb1.com/he/sources/qMUUn22b,s|qMUUn22b|,Good,2
he,שמעתי,316.50,ספר קבלה,groups - books,https://archive.kbb1.com/he/lessons?source=bs_qMUUn22b,l||source - bs_qMUUn22b,Unknown,-1
he,שלבי הסולם,633.00,ספר קבלה,groups - books,https://archive.kbb1.com/he/sources/jXgT6Pa1,s|jXgT6Pa1|,Unknown,-1
he,תהילים,316.50,ספר קבלה,groups - books,https://archive.kbb1.com/he/programs/cu/pay6i9Ts?language=he,cu|pay6i9Ts|,Regular,9
he,תהילים,316.50,ספר קבלה,groups - books,https://archive.kbb1.com/he/programs/c/4J0HCOhJ,c|4J0HCOhJ|,Good,1
he,זוגיות,240.50,נושא חינוך אינטגראלי,,https://archive.kbb1.com/he/programs?topic=VUpFlBnu_pXpozaXB_BdfLfqsa,p||topic - VUpFlBnu_pXpozaXB_BdfLfqsa,Unknown,-1
he,זוגיות,240.50,נושא חינוך אינטגראלי,,https://archive.kbb1.com/he/programs/cu/U52m4xoG,cu|U52m4xoG|,Unknown,-1
he,ילדים,481.00,נושא חינוך אינטגראלי,,https://archive.kbb1.com/he/programs?program=children%7C,p||program - children%7C,Unknown,-1
he,חינוך,481.00,נושא חינוך אינטגראלי,,https://archive.kbb1.com/he/programs/c/zf4lLwyI?topic=VUpFlBnu_pXpozaXB_g4WzYPpT,c|zf4lLwyI|,Unknown,-1
he,אהבה,481.00,נושא חינוך אינטגראלי,,https://archive.kbb1.com/he/programs?topic=VUpFlBnu_jwqdSTx0_BMeF4yJe,p||topic - VUpFlBnu_jwqdSTx0_BMeF4yJe,Unknown,-1
he,הדור האחרון,201.00,מוזיקה,אין חומר על מוזיקה,https://archive.kbb1.com/he/sources/oIrPpKn2,s|oIrPpKn2|,Regular,4
he,הדור האחרון,201.00,מוזיקה,אין חומר על מוזיקה,https://archive.kbb1.com/he/lessons?source=bs_qMeV5M3Y_oIrPpKn2,l||source - bs_qMeV5M3Y_oIrPpKn2,Unknown,-1
he,שירת העולמות,201.00,מוזיקה,נשמר כשיעור?,https://archive.kbb1.com/he/lessons/cu/l0GVJhAD?language=he,cu|l0GVJhAD|,Good,2
he,שירת העולמות,201.00,מוזיקה,נשמר כשיעור?,https://archive.kbb1.com/he/lessons/cu/AvV2BJPk?language=he,cu|AvV2BJPk|,Good,1
he,"רב""ש",131.50,מקובל,group - mekorot,https://archive.kbb1.com/he/programs/cu/5i0S9RMc?language=he,cu|5i0S9RMc|,Unknown,-1
he,"רב""ש",131.50,מקובל,group - mekorot,https://archive.kbb1.com/he/programs?topic=0db5BBS3_ssPpRE7p_NreYiGEg,p||topic - 0db5BBS3_ssPpRE7p_NreYiGEg,Unknown,-1
he,רמחל,87.67,מקובל,group - mekorot,https://archive.kbb1.com/he/programs/cu/OlRfxapi?language=he,cu|OlRfxapi|,Unknown,-1
he,רמחל,87.67,מקובל,group - mekorot,https://archive.kbb1.com/he/programs/cu/zyqpiTc3?language=he,cu|zyqpiTc3|,Unknown,-1
he,רמחל,87.67,מקובל,group - mekorot,https://archive.kbb1.com/he/programs?topic=0db5BBS3_ssPpRE7p_skJPR8fN,p||topic - 0db5BBS3_ssPpRE7p_skJPR8fN,Unknown,-1
he,בעל הסולם,131.50,מקובל,group - mekorot,https://archive.kbb1.com/he/programs/cu/maMk3db9?language=he,cu|maMk3db9|,Unknown,-1
he,בעל הסולם,131.50,מקובל,group - mekorot,https://archive.kbb1.com/he/programs/cu/AdgO5KVE?language=he,cu|AdgO5KVE|,Unknown,-1
he,משה,131.50,מקובל,group - mekorot,https://archive.kbb1.com/he/programs/cu/gC2tRWrH,cu|gC2tRWrH|,Unknown,-1
he,משה,131.50,מקובל,group - mekorot,https://archive.kbb1.com/he/programs/cu/AsNLozeK,cu|AsNLozeK|,Unknown,-1
he,טיש,246.00,סעודות,,https://archive.kbb1.com/he/events/cu/WhlWTpbB?language=he,cu|WhlWTpbB|,Regular,5
he,שיחות,104.00,שיעור קבלה כללי,,https://archive.kbb1.com/he/programs?program=%7Ce7yLP2D2,p||program - %7Ce7yLP2D2,Unknown,-1
he,שיחות,104.00,שיעור קבלה כללי,,https://archive.kbb1.com/he/programs/c/YvPmFc3Z,c|YvPmFc3Z|,Good,1
he,שיעור ווירטואלי,104.00,שיעור קבלה כללי,,https://archive.kbb1.com/he/lectures/c/VwCQ0OBq,c|VwCQ0OBq|,Unknown,-1
he,שיעור ווירטואלי,104.00,שיעור קבלה כללי,,https://archive.kbb1.com/he/lectures/c/pjoTcgvx,c|pjoTcgvx|,Unknown,-1
he,שיעור למתחילים,104.00,שיעור קבלה כללי,,https://archive.kbb1.com/he/lectures/c/VwCQ0OBq,c|VwCQ0OBq|,Unknown,-1
he,שיעור למתחילים,104.00,שיעור קבלה כללי,,https://archive.kbb1.com/he/lectures/c/pjoTcgvx,c|pjoTcgvx|,Unknown,-1
he,מרשמלו,200.00,תכניות ילדים,,https://archive.kbb1.com/he/programs?program=%7CJRR182e6,p||program - %7CJRR182e6,Unknown,-1
he,משחק ילדים,200.00,תכניות ילדים,,https://archive.kbb1.com/he/programs?program=%7CzQ1D7FeD,p||program - %7CzQ1D7FeD,Unknown,-1
he,מאירה והחברים,200.00,תכניות ילדים,,https://archive.kbb1.com/he/programs?program=%7CGGNcvo1Y,p||program - %7CGGNcvo1Y,Unknown,-1
he,שרטוטים,199.00,שיעור בוקר,אין שרטוטים?,https://archive.kbb1.com/he/lessons,l|| - ,Unknown,-1
he,שיעור בוקר,199.00,שיעור בוקר,,https://archive.kbb1.com/he/lessons,l|| - ,Unknown,-1
he,חיים חדשים זוגיות,59.67,חיים חדשים + נושא,,https://archive.kbb1.com/he/programs/cu/U52m4xoG,cu|U52m4xoG|,Unknown,-1
he,חיים חדשים זוגיות,59.67,חיים חדשים + נושא,,https://archive.kbb1.com/he/programs/cu/JIJqiB7M,cu|JIJqiB7M|,Unknown,-1
he,חיים חדשים זוגיות,59.67,חיים חדשים + נושא,,https://archive.kbb1.com/he/programs/cu/Xrk8LEb5,cu|Xrk8LEb5|,Unknown,-1
he,חיים חדשים משפחה,179.00,חיים חדשים + נושא,,https://archive.kbb1.com/he/programs/cu/gPGEY3cl,cu|gPGEY3cl|,Unknown,-1
he,חיים חדשים נוער,179.00,חיים חדשים + נושא,,https://archive.kbb1.com/he/programs/cu/5BlnVH4Q,cu|5BlnVH4Q|,Good,1
he,חיים חדשים הריון,89.50,חיים חדשים + נושא,,https://archive.kbb1.com/he/programs/cu/Hxxmgpb0,cu|Hxxmgpb0|,Unknown,-1
he,חיים חדשים הריון,89.50,חיים חדשים + נושא,,https://archive.kbb1.com/he/programs/cu/Eumgl3Jo,cu|Eumgl3Jo|,Unknown,-1
he,חיים חדשים קטעים נבחרים,179.00,חיים חדשים + נושא,groups,https://archive.kbb1.com/he/programs/c/G30TMsPn,c|G30TMsPn|,Good,1
he,הכנה לישיבת החברים,155.00,הכנות,,https://archive.kbb1.com/he/lessons/cu/Fs4Pajlx,cu|Fs4Pajlx|,Unknown,-1
he,הכנה לכנס רומניה,155.00,הכנות,,https://archive.kbb1.com/he/lessons/cu/Cf8xzLNH,cu|Cf8xzLNH|,Good,1
he,הכנה לפסח,155.00,הכנות,,https://archive.kbb1.com/he/events/c/PWOJ9aPK?language=he,c|PWOJ9aPK|,Unknown,-1
he,קבוצה צעירה,148.00,קבוצה מהכלי,,https://archive.kbb1.com/he/programs/cu/dhwDY32y?language=he,cu|dhwDY32y|,Good,1
he,שיחה על הפצה,118.00,הפצה,,https://archive.kbb1.com/he/lessons/cu/Fl6EkY5L,cu|Fl6EkY5L|,Good,1
he,נשים,104.00,נשים,מדור נשים groups,https://archive.kbb1.com/he/programs/c/Mx6yjJ5F,c|Mx6yjJ5F|,Good,1
he,תפקיד האישה,104.00,נשים,מדור נשים groups,https://archive.kbb1.com/he/lectures/cu/VwqLxdyT,cu|VwqLxdyT|,Unknown,-1
he,אגרת נ,41.00,אגרות,,https://archive.kbb1.com/he/sources/ib0w1sqv,s|ib0w1sqv|,Good,3
he,אגרת נ,41.00,אגרות,,https://archive.kbb1.com/he/sources/cT6IAU0f,s|cT6IAU0f|,Good,1
he,אגרת,41.00,אגרות,,https://archive.kbb1.com/he/sources/9ZIJ9CkI,s|9ZIJ9CkI|,Unknown,-1
he,אגרת,41.00,אגרות,,https://archive.kbb1.com/he/sources/VUcyhrcS,s|VUcyhrcS|,Good,1
he,אגרות,41.00,אגרות,,https://archive.kbb1.com/he/sources/DVSS0xAR,s|DVSS0xAR|,Regular,4
he,אגרות,41.00,אגרות,,https://archive.kbb1.com/he/sources/b8SHlrfH,s|b8SHlrfH|,Good,1
he,"אגרת ט""ז",41.00,אגרות,,https://archive.kbb1.com/he/sources/OHNHBjqH,s|OHNHBjqH|,Good,2
he,"אגרת ט""ז",41.00,אגרות,,https://archive.kbb1.com/he/sources/0UXdbMmk,s|0UXdbMmk|,Good,1
he,אגרת טז,41.00,אגרות,,https://archive.kbb1.com/he/sources/OHNHBjqH,s|OHNHBjqH|,Good,2
he,אגרת טז,41.00,אגרות,,https://archive.kbb1.com/he/sources/0UXdbMmk,s|0UXdbMmk|,Good,1
he,הנקודה שבלב,66.00,ספר הפצה,,https://archive.kbb1.com/he/programs?program=%7CJZkZxLgv,p||program - %7CJZkZxLgv,Unknown,-1
he,מבט לקבלה,33.00,ספר הפצה,,https://archive.kbb1.com/he/programs/cu/24gMqvTk,cu|24gMqvTk|,Good,1
he,מבט לקבלה,33.00,ספר הפצה,,https://archive.kbb1.com/he/programs/cu/24gMqvTk?language=he,cu|24gMqvTk|,Good,1
he,01/09/2015,31.50,תאריך,Not showing the lessons of that day,https://archive.kbb1.com/he/lessons/c/yEmCC7kf?language=he,c|yEmCC7kf|,Unknown,-1
he,01/09/2015,31.50,תאריך,Not showing the lessons of that day,https://archive.kbb1.com/he/programs?dates=2015-09-01_2015-09-01,p||dates - 2015-09-01_2015-09-01,Unknown,-1
