Language,Query,Weight,Bucket,Comment,#1,#1 Parsed,#1 SQ,#1 Rank,#2,#2 Parsed,#2 SQ,#2 Rank,#3,#3 Parsed,#3 SQ,#3 Rank,#4,#4 Parsed,#4 SQ,#4 Rank,#5,#5 Parsed,#5 SQ,#5 Rank
he,אורן לוי,119,מרצה-חבר,,Group all the programs where he is host,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,גלעד שדמון,119,מרצה-חבר,,Group all the programs where he is host,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,אוליאנוב,119,מרצה-חבר,,Group all the programs where he is host,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,הפצה,118,הפצה,,group the dissemination lectures,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,הפצה באינטרנט,118,הפצה,,group the dissemination lectures,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,שיחה על הפצה,118,הפצה,,https://archive.kbb1.com/he/lessons/cu/Fl6EkY5L,cu|Fl6EkY5L|,Good,1,group the dissemination lectures,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,נשים,104,נשים,מדור נשים groups,Group Women Lessons,bs||,NoExpectation,-1,Group Women YH,bs||,NoExpectation,-1,https://archive.kbb1.com/he/programs/c/Mx6yjJ5F,c|Mx6yjJ5F|,Good,1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,סדנאות נשים,104,נשים,מדור נשים groups,Group women workshops,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,שיעור נשים,104,נשים,מדור נשים groups,Group Women Lessons,bs||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,תפקיד האישה,104,נשים,מדור נשים groups,https://archive.kbb1.com/he/lectures/cu/VwqLxdyT,cu|VwqLxdyT|,Unknown,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
he,אגרת נ,82,אגרות,,https://archive.kbb1.com/he/sources/ib0w1sqv,s|ib0w1sqv|,Good,3,https://archive.kbb1.com/he/sources/cT6IAU0f,s|cT6IAU0f|,Good,1,,e||,NoExpectation,-1,,e||,NoExpectation,-1,,e||,NoExpectation,-1
